texts,left,top,height,width,row,center_x,column
(Cifras expresadas en miles de pesos chilenos),0.06459097564220428,0.07526063919067383,0.013369879685342312,0.32892218232154846,0,0.22905206680297852,1
ESTADO CONSOLIDADO INTERMEDIO DE RESULTADOS POR FUNCION,0.13731491565704346,0.11456473916769028,0.014483443461358547,0.6795315146446228,1,0.47708067297935486,5
(No auditados),0.4227050840854645,0.14719444513320923,0.013472824357450008,0.115884929895401,2,0.480647549033165,5
Por los sels meses terminados al 30,0.4870254397392273,0.18767721951007843,0.00965908169746399,0.18558093905448914,3,0.5798159092664719,3
Por los tres meses terminados al 30,0.6901665925979614,0.18780720233917236,0.009808527305722237,0.1848480999469757,3,0.7825906425714493,4
ESTADO CONSOLIDADO INTERMEDIO DE RESULTADOS,0.0934576764702797,0.2048339545726776,0.009593217633664608,0.29466748237609863,4,0.240791417658329,1
de junio de,0.5503855347633362,0.19938132166862488,0.011012881994247437,0.05848296731710434,4,0.5796270184218884,3
de junio de,0.7532187700271606,0.19931228458881378,0.010808367282152176,0.05881497636437416,4,0.7826262582093477,4
Notas,0.42523425817489624,0.21084442734718323,0.00927223265171051,0.031085848808288574,4,0.4407771825790405,5
POR FUNCION,0.2023334801197052,0.21616975963115692,0.009483319707214832,0.07645735144615173,5,0.24056215584278107,1
2016,0.5160824656486511,0.22464540600776672,0.00966230034828186,0.026016056537628174,5,0.5290904939174652,3
2015,0.617469310760498,0.224728062748909,0.009571760892868042,0.025971531867980957,5,0.6304550766944885,0
2016,0.7162825465202332,0.2246733158826828,0.009469926357269287,0.030779361724853516,5,0.7316722273826599,4
2015,0.8177070617675781,0.22476162016391754,0.009474828839302063,0.030711591243743896,5,0.8330628573894501,2
MS,0.5209355354309082,0.24182544648647308,0.009341433644294739,0.01646113395690918,6,0.5291661024093628,3
M$,0.622285783290863,0.24183890223503113,0.009327322244644165,0.016445457935333252,6,0.6305085122585297,0
M$,0.721808135509491,0.2418576031923294,0.009517446160316467,0.020264267921447754,6,0.7319402694702148,4
M$,0.823270320892334,0.24191078543663025,0.009447753429412842,0.019660234451293945,6,0.833100438117981,2
Ingresos por ventas,0.08356059342622757,0.25819864869117737,0.010811984539031982,0.09504610300064087,7,0.131083644926548,1
9,0.43696296215057373,0.2581278085708618,0.009013712406158447,0.007486999034881592,7,0.4407064616680145,5
722.097.548,0.5135419368743896,0.25792396068573,0.009339213371276855,0.06073129177093506,7,0.5439075827598572,3
693.507.825,0.6149287223815918,0.25792744755744934,0.009336978197097778,0.060285091400146484,7,0.645071268081665,0
307.904.735,0.7165290117263794,0.2579362392425537,0.009417504072189331,0.060904741287231445,7,0.7469813823699951,4
"310,673.461",0.8178558945655823,0.2580566704273224,0.009151607751846313,0.05979633331298828,7,0.8477540612220764,2
Costos de ventas,0.08351564407348633,0.2723390758037567,0.009108942933380604,0.08353430777788162,8,0.12528279796242714,1
10,0.4347645938396454,0.2724548578262329,0.00901898741722107,0.013321250677108765,8,0.44142521917819977,5
(339.546.440),0.5072320699691772,0.2723191976547241,0.011213153600692749,0.06707382202148438,8,0.5407689809799194,3
(311.755.807),0.6085714101791382,0.2721500098705292,0.011083751916885376,0.06766903400421143,8,0.6424059271812439,0
(156.249.892),0.7096867561340332,0.27224817872047424,0.011430621147155762,0.06748276948928833,8,0.7434281408786774,4
(146.191.315),0.8107612729072571,0.27240386605262756,0.011279523372650146,0.06790411472320557,8,0.8447133302688599,2
Margen bruto,0.0835057720541954,0.28753194212913513,0.010895011946558952,0.06936442106962204,9,0.11818798258900642,1
382.551.108,0.5141249299049377,0.2878877818584442,0.00915449857711792,0.060086727142333984,9,0.5441682934761047,3
381.752.018,0.6156788468360901,0.2879274785518646,0.00912463665008545,0.060214996337890625,9,0.6457863450050354,0
151.654.843,0.717198371887207,0.28783267736434937,0.009212255477905273,0.06031697988510132,9,0.7473568618297577,4
164.482.146,0.8184435367584229,0.2878186106681824,0.009160161018371582,0.06032902002334595,9,0.8486080467700958,2
