texts,left,top,height,width,row,center_x,column
N T R o CONSOLIDADOS DE RESULTADOS E ORFUNCION o,0.15869194269180298,0.04814372584223747,0.010042703710496426,0.5078197121620178,0,0.4126017987728119,3
31 de diciembre de 2019 y 2018,0.06956478208303452,0.06272269785404205,0.009827100671827793,0.1702404022216797,1,0.15468498319387436,0
(Cifras en miles de pesos colombianos),0.0695696547627449,0.07606200128793716,0.010463496670126915,0.20701877772808075,2,0.17307904362678528,0
GANANCIA (PERDIDA),0.30081820487976074,0.0953783243894577,0.011376701295375824,0.13225503265857697,3,0.3669457212090492,3
dic-19,0.7202175259590149,0.0967358946800232,0.008807457983493805,0.033244788646698,3,0.7368399202823639,2
dic-18,0.8528693914413452,0.09685400128364563,0.008482791483402252,0.031571388244628906,3,0.8686550855636597,1
Ingresos de actividades ordinarias,0.06932637840509415,0.11606703698635101,0.01003332156687975,0.17711195349693298,4,0.15788235515356064,0
$,0.6789687871932983,0.11552078276872635,0.009581528604030609,0.008071601390838623,4,0.6830045878887177,4
"22,450,898,631",0.7100167870521545,0.11615573614835739,0.009524218738079071,0.08233630657196045,4,0.7511849403381348,2
$,0.8118542432785034,0.11541874706745148,0.009597539901733398,0.008079886436462402,4,0.8158941864967346,2
"19,065,573,453",0.8442382216453552,0.11608817428350449,0.009479336440563202,0.0814695954322815,4,0.884973019361496,1
Costo de ventas,0.06923726946115494,0.12953637540340424,0.008580014109611511,0.08376196771860123,5,0.11111825332045555,0
$,0.6791647672653198,0.12915316224098206,0.009582266211509705,0.00783318281173706,5,0.6830813586711884,4
"(20,393,198,994)",0.7054890990257263,0.12975601851940155,0.010025933384895325,0.0915149450302124,5,0.7512465715408325,2
$,0.8120306730270386,0.12917621433734894,0.009547039866447449,0.00798267126083374,5,0.8160220086574554,2
"(17,370,774,073)",0.8402078747749329,0.12945376336574554,0.009903669357299805,0.0893145203590393,5,0.8848651349544525,1
Ganancia (Perdida) Bruta,0.06859306246042252,0.14767713844776154,0.011352255940437317,0.2214391827583313,6,0.17931265383958817,0
"$ 2,057,699,637",0.680212676525116,0.14768940210342407,0.011192611418664455,0.11271540075540543,6,0.7365703769028187,2
"$ 1,694,799,380",0.8128147721290588,0.14756926894187927,0.011290404945611954,0.1125849187374115,6,0.8691072314977646,1
"Otros ingresos, por funcion",0.06923174113035202,0.16842418909072876,0.009946512058377266,0.14176462590694427,7,0.14011405408382416,0
$,0.679084300994873,0.16789144277572632,0.009516745805740356,0.007960736751556396,7,0.6830646693706512,4
"81,071,130",0.7332185506820679,0.16856974363327026,0.009357601404190063,0.0604395866394043,7,0.76343834400177,2
$,0.8119226098060608,0.16769559681415558,0.00974409282207489,0.007967054843902588,7,0.8159061372280121,2
"118,968,997",0.8598123788833618,0.16854426264762878,0.009242743253707886,0.06564599275588989,7,0.8926353752613068,1
Costos de distribucion,0.06900294125080109,0.1817096620798111,0.008732219226658344,0.11610583961009979,8,0.12705586105585098,0
$,0.6791484355926514,0.1815638244152069,0.009552255272865295,0.007689714431762695,8,0.6829932928085327,4
"(1,154,100,623)",0.7135365009307861,0.18175503611564636,0.00994071364402771,0.08263295888900757,8,0.7548529803752899,2
$,0.812167763710022,0.1813330352306366,0.009732499718666077,0.007507920265197754,8,0.8159217238426208,2
"(968,795,603)",0.8557074069976807,0.18176662921905518,0.010083839297294617,0.0739368200302124,8,0.8926758170127869,1
Gasto de administracion,0.06964072585105896,0.19535048305988312,0.00844787061214447,0.12675729393959045,9,0.1330193728208542,0
$,0.6791188716888428,0.1949927806854248,0.009554743766784668,0.007869362831115723,9,0.6830535531044006,4
"(307,418,783)",0.7232496738433838,0.19519416987895966,0.010042667388916016,0.07365131378173828,9,0.7600753307342529,2
$,0.8121493458747864,0.19494986534118652,0.009523928165435791,0.007795989513397217,9,0.816047340631485,2
"(268,273,540)",0.8549583554267883,0.1953805685043335,0.009768009185791016,0.07421529293060303,9,0.8920660018920898,1
"Otros gastos, por funcion",0.06947184354066849,0.2086099535226822,0.010312411934137344,0.13192056119441986,10,0.13543212413787842,0
$,0.6791585683822632,0.2088077962398529,0.009564369916915894,0.007652640342712402,10,0.6829848885536194,4
"(93,325,300)",0.7281423807144165,0.20867511630058289,0.010109007358551025,0.0686945915222168,10,0.7624896764755249,2
$,0.8121457099914551,0.2083684355020523,0.009417787194252014,0.0075522661209106445,10,0.8159218430519104,2
"(187,075,982)",0.8554349541664124,0.20879599452018738,0.009976476430892944,0.07360869646072388,10,0.8922393023967743,1
Ingresos financieros,0.06930312514305115,0.22225771844387054,0.010202039033174515,0.104932501912117,11,0.12176937609910965,0
$,0.6792333126068115,0.22206246852874756,0.009399279952049255,0.0077040791511535645,11,0.6830853521823883,4
"8,335,336",0.7393556833267212,0.22256745398044586,0.009339511394500732,0.05344986915588379,11,0.7660806179046631,2
$,0.8119977712631226,0.2219216525554657,0.009578049182891846,0.007868945598602295,11,0.8159322440624237,2
"10,654,447",0.8660532236099243,0.2226445972919464,0.009193748235702515,0.059413909912109375,11,0.895760178565979,1
Costos financieros,0.06935162097215652,0.23583292961120605,0.00865026842802763,0.0955268070101738,12,0.11711502447724342,0
$,0.6791101694107056,0.23558762669563293,0.009433925151824951,0.007741689682006836,12,0.682981014251709,4
"(233,062,771)",0.7219992876052856,0.2357870489358902,0.009886369109153748,0.07465517520904541,12,0.7593268752098083,2
$,0.8120898008346558,0.23542821407318115,0.009615480899810791,0.007842957973480225,12,0.8160112798213959,2
"(196,130,849)",0.8552728891372681,0.23582732677459717,0.009986519813537598,0.07428324222564697,12,0.8924145102500916,1
Participacion en las ganancias (perdidas) de asociadas y negocios conjuntos que se contabilicen utilizando el,0.06962555646896362,0.24927102029323578,0.010167107917368412,0.5612393617630005,13,0.35024523735046387,3
$,0.6791626811027527,0.25569841265678406,0.009624481201171875,0.007752895355224609,14,0.683039128780365,4
"2,969,312",0.7392717599868774,0.2563546299934387,0.009186506271362305,0.05314368009567261,14,0.7658436000347137,2
$,0.8118121027946472,0.2555261552333832,0.009711802005767822,0.00797349214553833,14,0.8157988488674164,2
"2,535,653",0.8721897006034851,0.2562023401260376,0.0094260573387146,0.05312514305114746,14,0.8987522721290588,1
metodo de la participacion,0.0693601667881012,0.2627781629562378,0.010115452110767365,0.14067761600017548,15,0.13969897478818893,0
"Ganancia (Perdida), Antes d e Impuestos",0.06843552738428116,0.2811110317707062,0.011626153253018856,0.33891561627388,16,0.23789333552122116,0
$,0.6812525987625122,0.2808988690376282,0.010451555252075195,0.008631646633148193,16,0.6855684220790863,4
"362,167,938",0.7186991572380066,0.28175705671310425,0.010326147079467773,0.07299041748046875,16,0.755194365978241,2
$,0.8142515420913696,0.28085193037986755,0.010491728782653809,0.008480727672576904,16,0.8184919059276581,2
"206,682,503",0.8506933450698853,0.28157833218574524,0.01054316759109497,0.0740233063697815,16,0.887704998254776,1
Gasto por impuestos a las ganancias,0.06919614225625992,0.3009772002696991,0.009942143224179745,0.18967726826667786,17,0.16403477638959885,0
$,0.679131805896759,0.3004949688911438,0.009637117385864258,0.007786214351654053,17,0.6830249130725861,4
"(124,250,014)",0.7226875424385071,0.3007793128490448,0.009980082511901855,0.07373321056365967,17,0.7595541477203369,2
$,0.811938464641571,0.30025729537010193,0.009941190481185913,0.007966160774230957,17,0.8159215450286865,2
"(72,941,641)",0.8615006804466248,0.3008826971054077,0.00993528962135315,0.06798869371414185,17,0.8954950273036957,1
Ganancia (Perdida) Procedente d e Operaciones Continuadas,0.06981378048658371,0.31988605856895447,0.011286973021924496,0.5250784158706665,18,0.33235298842191696,3
$,0.6813654899597168,0.3198571503162384,0.010540276765823364,0.008549392223358154,18,0.6856401860713959,4
"237,917,924",0.7179436683654785,0.3205989897251129,0.010294139385223389,0.07390797138214111,18,0.7548976540565491,2
$,0.8142482042312622,0.31972867250442505,0.01060834527015686,0.008485734462738037,18,0.8184910714626312,2
"133,740,862",0.8515313863754272,0.32051578164100647,0.0102042555809021,0.07334989309310913,18,0.8882063329219818,1
Ganancia (perdida) procedente de operaciones discontinuadas,0.06940469890832901,0.3397231101989746,0.00997500866651535,0.3265911936759949,19,0.23270029574632645,0
$,0.6791133880615234,0.3392638862133026,0.009793132543563843,0.007848560810089111,19,0.683037668466568,4
-,0.7744608521461487,0.3431825041770935,0.0029054880142211914,0.005341768264770508,20,0.7771317362785339,2
$,0.8120060563087463,0.33907386660575867,0.009914785623550415,0.007848560810089111,21,0.8159303367137909,2
-,0.9069779515266418,0.34331345558166504,0.0027468502521514893,0.005318701267242432,22,0.9096373021602631,1
"Ganancia (Perdida), Neto",0.06933464109897614,0.35780972242355347,0.011630207300186157,0.21312831342220306,23,0.17589879781007767,0
$,0.6813175082206726,0.35800519585609436,0.010458528995513916,0.008639693260192871,23,0.685637354850769,4
"237,917,924",0.7179357409477234,0.3584085702896118,0.010400831699371338,0.07353633642196655,23,0.7547039091587067,2
$,0.8144064545631409,0.35782504081726074,0.010646402835845947,0.008198082447052002,23,0.8185054957866669,2
"133,740,862",0.8505248427391052,0.3583374321460724,0.01052752137184143,0.07464128732681274,23,0.8878454864025116,1
"Ganancia (perdida), atribuible a:",0.069338858127594,0.3783356547355652,0.010314494371414185,0.1738884598016739,24,0.15628308802843094,0
"Ganancia (perdida), atribuible a los propietarios de la controladora",0.06945275515317917,0.3917989134788513,0.010247184894979,0.3467746376991272,25,0.24284007400274277,0
