texts,left,top,height,width,row,center_x,column
"Por los anos terminados al 31 de diciembre de 2019, 2018 y 2017",0.18320028483867645,0.05132996290922165,0.010312408208847046,0.3534373342990875,0,0.3599189519882202,7
Cifras expresadas en millones de dolares americanos (S) y millones de pesos mexicanos (Ps.) excepto informacion por accion,0.18312567472457886,0.0658654272556305,0.010337766259908676,0.6803537011146545,1,0.5233025252819061,6
NOTA,0.47983700037002563,0.11890345811843872,0.007066100835800171,0.031072020530700684,2,0.495373010635376,6
2019 (1),0.5747092366218567,0.11812272667884827,0.007917563430964947,0.0418025478720665,2,0.5956105105578899,2
2019 [2],0.673618495464325,0.11772753298282623,0.00821548793464899,0.041909873485565186,2,0.6945734322071075,4
2018,0.7821035385131836,0.11881399154663086,0.00730404257774353,0.025975584983825684,2,0.7950913310050964,0
2017,0.8750581741333008,0.11884156614542007,0.007242508232593536,0.027214527130126953,2,0.8886654376983643,3
Ventas netas,0.07317633181810379,0.14287586510181427,0.008133639581501484,0.06644231826066971,3,0.10639749094843864,5
$,0.5532010197639465,0.14246004819869995,0.009144201874732971,0.0074593424797058105,3,0.5569306910037994,2
"10,198",0.5804234147071838,0.14330440759658813,0.008477896451950073,0.03536921739578247,3,0.5981080234050751,2
"Ps. 192,342",0.6498226523399353,0.1429772824048996,0.00912549253553152,0.06516149640083313,3,0.6824034005403519,4
"Ps. 181,823",0.745487630367279,0.14302600920200348,0.008801385760307312,0.06488261371850967,3,0.7779289372265339,0
"Ps 182,850",0.8410952091217041,0.14289063215255737,0.008695458061993122,0.06123036891222,3,0.8717103935778141,3
Otros ingresos de operacion,0.07378657907247543,0.15664395689964294,0.009894996881484985,0.14106732606887817,4,0.14432024210691452,5
25,0.48918333649635315,0.156871035695076,0.007857367396354675,0.014360517263412476,4,0.4963635951280594,6
113,0.5960761904716492,0.15698666870594025,0.0076134949922561646,0.01989901065826416,4,0.6060256958007812,2
"2,129",0.6846369504928589,0.15684346854686737,0.008731737732887268,0.029909789562225342,4,0.6995918452739716,4
519,0.7909402847290039,0.15683341026306152,0.007901132106781006,0.019320547580718994,4,0.8006005585193634,0
406,0.8830130100250244,0.15678054094314575,0.00786641240119934,0.01941162347793579,4,0.8927188217639923,3
Ingresos totales,0.07382594794034958,0.17006142437458038,0.010374429635703564,0.08134865760803223,5,0.11450027674436569,5
"10,311",0.5804451107978821,0.1709563434123993,0.008556485176086426,0.03470587730407715,5,0.5977980494499207,2
