texts,left,top,height,width,row,center_x,column
ESTADO DE RESULTADOS,0.4218059182167053,0.07629521191120148,0.011132711544632912,0.16637617349624634,0,0.5049940049648285,2
FECHA DE PUBLICACION: 28 DE FEBRERO DE 2020,0.3418563902378082,0.08934859931468964,0.01081942580640316,0.326470285654068,1,0.5050915330648422,2
ANO TERMINADO EL 31 DE DICIEMBRE DE,0.37148797512054443,0.10211155563592911,0.011244735680520535,0.26930704712867737,2,0.5061414986848831,2
EN MILLONES DE PESOS,0.12384934723377228,0.15958823263645172,0.010670425370335579,0.1629752665758133,3,0.20533698052167892,1
2019,0.6734170913696289,0.15897496044635773,0.010450571775436401,0.030868828296661377,3,0.6888515055179596,2
2018,0.8558470010757446,0.15896359086036682,0.010493770241737366,0.03088665008544922,3,0.8712903261184692,0
Ingresos ordinarios,0.12360517680644989,0.1814689040184021,0.01259121485054493,0.11207304894924164,4,0.1796417012810707,1
"4,535,456",0.6438680291175842,0.18151064217090607,0.011584416031837463,0.060382723808288574,4,0.6740593910217285,2
"4,582,164",0.8267458081245422,0.18141864240169525,0.011673226952552795,0.05933505296707153,4,0.856413334608078,0
Costo de produccion,0.12344322353601456,0.19949273765087128,0.012764301151037216,0.12313888967037201,5,0.18501266837120056,1
"(1,291,287)",0.634820818901062,0.19952620565891266,0.012836664915084839,0.06914806365966797,5,0.669394850730896,2
"(1,084,043)",0.8167576193809509,0.19949282705783844,0.012742891907691956,0.06873279809951782,5,0.8511240184307098,0
Costos variables,0.1237340196967125,0.21866829693317413,0.010519949719309807,0.09705648571252823,6,0.1722622625529766,1
"(133,901)",0.6459119319915771,0.21876917779445648,0.01268826425075531,0.05818730592727661,6,0.6750055849552155,2
"(66,596)",0.8358926177024841,0.2188396155834198,0.012456029653549194,0.050845563411712646,6,0.8613153994083405,0
Utilidad bruta,0.12385116517543793,0.23755870759487152,0.010739294812083244,0.08774515241384506,7,0.16772374138236046,1
"3,110,268",0.6449556946754456,0.2378048449754715,0.011864513158798218,0.059877216815948486,7,0.6748943030834198,2
"3,431,525",0.8267366886138916,0.2377004474401474,0.012089952826499939,0.060628294944763184,7,0.8570508360862732,0
Gastos de distribucion,0.12392944097518921,0.2600649297237396,0.010791391134262085,0.13114869594573975,8,0.18950378894805908,1
"(292,879)",0.6457369327545166,0.2602154612541199,0.012767106294631958,0.0580098032951355,8,0.6747418344020844,2
"(364,950)",0.8281800746917725,0.26027044653892517,0.012709230184555054,0.05816006660461426,8,0.8572601079940796,0
Gastos de mercadeo,0.12384036928415298,0.2790201008319855,0.010943323373794556,0.12246658653020859,9,0.18507366254925728,1
"(279,111)",0.6458140015602112,0.27912479639053345,0.012717336416244507,0.05765753984451294,9,0.6746427714824677,2
"(275,900)",0.8277218341827393,0.27902936935424805,0.01287531852722168,0.05849003791809082,9,0.8569668531417847,0
Gastos fijos,0.1236153095960617,0.29736652970314026,0.012812888249754906,0.06986776739358902,10,0.15854919329285622,1
"(681,640)",0.6463899612426758,0.29757097363471985,0.012576133012771606,0.05743223428726196,10,0.6751060783863068,2
"(1,018,247)",0.817520260810852,0.2972103953361511,0.01301264762878418,0.06848961114883423,10,0.8517650663852692,0
Otros ingresos (gastos) netos,0.12353888899087906,0.31560075283050537,0.012918323278427124,0.17418493330478668,11,0.2106313556432724,1
"259,522",0.6553843021392822,0.3156585395336151,0.011624038219451904,0.04859131574630737,11,0.6796799600124359,2
"350,945",0.8379212021827698,0.31567874550819397,0.011618435382843018,0.04859304428100586,11,0.8622177243232727,0
Utilidad operacional,0.12334278225898743,0.3354131877422333,0.012916522100567818,0.12874719500541687,12,0.18771637976169586,1
"2,116,160",0.6439447999000549,0.3355066478252411,0.012231439352035522,0.060413897037506104,12,0.674151748418808,2
"2,123,373",0.8263851404190063,0.3356618285179138,0.012113869190216064,0.06077176332473755,12,0.8567710220813751,0
Ingresos (gastos) financieros,0.12375228106975555,0.357989639043808,0.012801973149180412,0.17182008922100067,13,0.2096623256802559,1
"(164,000)",0.6458292007446289,0.3578866720199585,0.012969762086868286,0.05770593881607056,13,0.6746821701526642,2
"(307,231)",0.8282323479652405,0.35781270265579224,0.013099074363708496,0.05791217088699341,13,0.8571884334087372,0
Metodo de participacion,0.12369601428508759,0.3763754367828369,0.012564265169203281,0.13946068286895752,14,0.19342635571956635,1
"980,132",0.6554088592529297,0.37659314274787903,0.011396974325180054,0.0483514666557312,14,0.6795845925807953,2
"1,014,784",0.8282697796821594,0.376267671585083,0.011725306510925293,0.058290183544158936,14,0.8574148714542389,0
Utilidad antes de impuestos,0.12363521009683609,0.3957006335258484,0.013330519199371338,0.17694003880023956,15,0.21210522949695587,1
"2,932,292",0.6441296339035034,0.39635708928108215,0.011851966381072998,0.060573577880859375,15,0.6744164228439331,2
"2,830,926",0.8270491361618042,0.3963741064071655,0.011886030435562134,0.05932044982910156,15,0.856709361076355,0
Provision para impuestos sobre la renta,0.12358369678258896,0.4186374545097351,0.012617834843695164,0.2309710681438446,16,0.23906923085451126,1
"(577,568)",0.6458705067634583,0.41866570711135864,0.012716352939605713,0.05769473314285278,16,0.6747178733348846,2
"(385,523)",0.8282793760299683,0.4186389148235321,0.012833982706069946,0.05828368663787842,16,0.8574212193489075,0
Utilidad neta,0.12381065636873245,0.43945392966270447,0.010610044933855534,0.08101007342338562,17,0.16431569308042526,1
"2,354,724",0.6438299417495728,0.43966570496559143,0.011776894330978394,0.060643672943115234,17,0.6741517782211304,2
"2,445,403",0.8267878890037537,0.43963944911956787,0.011925220489501953,0.06007355451583862,17,0.856824666261673,0
Utilidad neta por accion basica en operaciones continuadas,0.12350376695394516,0.4662970006465912,0.012724136933684349,0.374128133058548,18,0.31056783348321915,1
"9,561.13",0.6514843106269836,0.4664650559425354,0.01160767674446106,0.052417874336242676,18,0.677693247795105,2
"9,929.32",0.8343624472618103,0.4665493965148926,0.011623769998550415,0.05271470546722412,18,0.8607197999954224,0
en pes OS colombianos,0.12300614267587662,0.48278942704200745,0.01277116034179926,0.1454472839832306,19,0.1957297846674919,1
