texts,left,top,height,width,row,center_x,column
Estado Consolidado de Resultados,0.32806718349456787,0.04651780053973198,0.016854597255587578,0.3832241892814636,0,0.5196792781352997,3
(Cifras expresadas en millones de pesos),0.33817458152770996,0.06639759987592697,0.017659202218055725,0.3387993276119232,1,0.5075742453336716,3
Por los anos que terminaron el:,0.6275097131729126,0.09348385781049728,0.010533430613577366,0.14858902990818024,2,0.7018042281270027,2
Nota,0.4961405098438263,0.11201748251914978,0.007804751396179199,0.024572104215621948,3,0.5084265619516373,3
31 de diciembre de 2019,0.5613212585449219,0.11142243444919586,0.008653384633362293,0.11942973732948303,3,0.6210361272096634,2
31 de diciembre de 2018,0.7244434356689453,0.11147721111774445,0.008494018577039242,0.11915166676044464,3,0.7840192690491676,0
Ingreso por intereses de cartera de creditos y operaciones de leasing financiero,0.13778354227542877,0.12760545313358307,0.010820120573043823,0.34111934900283813,4,0.30834321677684784,1
$,0.5315161943435669,0.12812432646751404,0.008673682808876038,0.007335841655731201,4,0.5351841151714325,3
"323,821",0.6563884615898132,0.1278526932001114,0.009845033288002014,0.04198962450027466,4,0.6773832738399506,2
"401,609",0.8151528239250183,0.1279388964176178,0.009964317083358765,0.04318875074386597,4,0.8367471992969513,0
"Intereses depositos y exigibilidades, creditos y otras obligaciones financieras",0.13769304752349854,0.14426696300506592,0.011131986044347286,0.3303067088127136,5,0.30284640192985535,1
"(640,060)",0.6495825052261353,0.1445995271205902,0.00948263704776764,0.04959040880203247,5,0.6743777096271515,2
"(487,954)",0.8085184097290039,0.14463777840137482,0.009595036506652832,0.05060458183288574,5,0.8338207006454468,0
Intereses provenientes de titulas de deuda medidos a costo amortizado,0.13775625824928284,0.1610281765460968,0.010364782996475697,0.307058721780777,6,0.2912856191396713,1
"87,706",0.6618553996086121,0.16118377447128296,0.009674713015556335,0.03715157508850098,6,0.6804311871528625,2
"131,669",0.8162091374397278,0.1611218899488449,0.010085776448249817,0.04241710901260376,6,0.8374176919460297,0
"Diferencia en cambio, neta",0.13806277513504028,0.17658652365207672,0.009725362062454224,0.1381455808877945,7,0.20713556557893753,1
"(21,630)",0.6557592153549194,0.17676018178462982,0.009463146328926086,0.044286251068115234,7,0.677902340888977,2
"(10,041)",0.8153520822525024,0.17673233151435852,0.009562760591506958,0.04378390312194824,7,0.8372440338134766,0
"Ingresos por intereses, neto",0.1381305307149887,0.1932532638311386,0.011070418171584606,0.14204473793506622,8,0.20915289968252182,1
"(250,163)",0.6480752825737,0.1934054046869278,0.009549230337142944,0.051162540912628174,8,0.673656553030014,2
"35,283",0.8213356733322144,0.19350583851337433,0.009325534105300903,0.03637981414794922,8,0.839525580406189,0
"Rendimiento en operaciones de repo, simultaneas y otros, neto",0.13771870732307434,0.20743630826473236,0.011010109446942806,0.3172377049922943,9,0.2963375598192215,1
"(160,469)",0.649060070514679,0.20776593685150146,0.009749174118041992,0.05036824941635132,9,0.6742441952228546,2
"(180,259)",0.8090256452560425,0.2077256739139557,0.009630680084228516,0.05004781484603882,9,0.8340495526790619,0
Ingreso por valoracion de activos financieros concesionados,0.13794313371181488,0.22276483476161957,0.01100141741335392,0.3036879003047943,10,0.28978708386421204,1
14,0.5034574866294861,0.22347648441791534,0.007908657193183899,0.013121426105499268,10,0.5100181996822357,3
"217,616",0.6565372943878174,0.22321933507919312,0.009464234113693237,0.04321300983428955,10,0.6781437993049622,2
"205,803",0.815616250038147,0.22321446239948273,0.00944046676158905,0.043010413646698,10,0.837121456861496,0
"Comisiones y honorarios, neto",0.13770164549350739,0.23746301233768463,0.010568819008767605,0.15450142323970795,11,0.21495235711336136,1
36,0.5031201839447021,0.2377382069826126,0.008230924606323242,0.012735068798065186,11,0.5094877183437347,3
"58,227",0.6619146466255188,0.2375817894935608,0.00960443913936615,0.03712230920791626,11,0.6804758012294769,2
"59,321",0.8209088444709778,0.2376616895198822,0.009594336152076721,0.035960495471954346,11,0.838889092206955,0
"Ganancia en valoracion de instrumentios financieros, neta",0.13806015253067017,0.25053611397743225,0.010052277706563473,0.290589839220047,12,0.28335507214069366,1
"105,447",0.6572521924972534,0.2509273886680603,0.009374171495437622,0.04254424571990967,12,0.6785243153572083,2
"41,253",0.8207340240478516,0.25095993280410767,0.00954774022102356,0.037124037742614746,12,0.8392960429191589,0
"Gananci en venta de inversiones, neta",0.13821788132190704,0.2652167081832886,0.00956804770976305,0.1927378624677658,13,0.23458681255578995,1
"39,086",0.662076473236084,0.2655884027481079,0.009362190961837769,0.03690314292907715,13,0.6805280447006226,2
"22,938",0.8211227059364319,0.2654516398906708,0.009499073028564453,0.03691679239273071,13,0.8395811021327972,0
Deteriora de cartera de creditos,0.13831128180027008,0.2796073853969574,0.00868043303489685,0.16040562093257904,14,0.2185140922665596,1
"(10,941)",0.6559972167015076,0.27949509024620056,0.009622812271118164,0.044048428535461426,14,0.6780214309692383,2
(45032),0.8154349327087402,0.2794015109539032,0.01003795862197876,0.040988028049468994,14,0.8359289467334747,0
Deteriora de inversiones,0.1381298154592514,0.29409876465797424,0.008547872304916382,0.12402527034282684,15,0.20014245063066483,1
(960),0.66971355676651,0.2938494384288788,0.009897023439407349,0.028495967388153076,15,0.6839615404605865,2
"(129,319)",0.8082787990570068,0.2939140796661377,0.009875595569610596,0.050567567348480225,15,0.833562582731247,0
"Ingresos operacionales financiero, neto",0.13819967210292816,0.30921438336372375,0.01115304697304964,0.20224842429161072,16,0.23932388424873352,1
"(2,157)",0.6606444716453552,0.30974477529525757,0.009757071733474731,0.03870362043380737,16,0.6799962818622589,2
"9,988",0.825908899307251,0.30978983640670776,0.009657204151153564,0.0318949818611145,16,0.8418563902378082,0
Ingresos por venta de bienes y prestacion de servicios,0.13814207911491394,0.3236057162284851,0.011048668064177036,0.27032601833343506,17,0.27330508828163147,1
37,0.5028718709945679,0.32396334409713745,0.008363693952560425,0.013707339763641357,17,0.5097255408763885,3
"8,848,206",0.6468663811683655,0.3240775465965271,0.009295880794525146,0.05279684066772461,17,0.6732648015022278,2
"7,690,575",0.8058980703353882,0.3240329623222351,0.009479105472564697,0.05279582738876343,17,0.8322959840297699,0
Ingreso por valoracion de activos biologicos,0.1380847841501236,0.33696696162223816,0.011055201292037964,0.22380225360393524,18,0.24998591095209122,1
"18,914",0.6629334688186646,0.3375919461250305,0.009207099676132202,0.03618180751800537,18,0.6810243725776672,2
"20,605",0.8210375308990479,0.33733275532722473,0.009633004665374756,0.03676009178161621,18,0.839417576789856,0
"Ingreso por valoracion de propiedades de inversion, neta",0.13778500258922577,0.3513926565647125,0.010899417102336884,0.2868046760559082,19,0.28118734061717987,1
"6,828",0.6668890118598938,0.3517273962497711,0.009447187185287476,0.031432509422302246,19,0.6826052665710449,2
"2,556",0.8268064260482788,0.3516770899295807,0.009363889694213867,0.030643105506896973,19,0.8421279788017273,0
Otros ingresos operacionales,0.1379236876964569,0.3643763065338135,0.011005379259586334,0.1464659571647644,20,0.2111566662788391,1
"113,233",0.6576579213142395,0.36521896719932556,0.008878618478775024,0.04198861122131348,20,0.6786522269248962,2
"198,920",0.8163648247718811,0.3653079867362976,0.008819788694381714,0.04204416275024414,20,0.8373869061470032,0
Ingresos por dividendos y otras participaciones,0.13793054223060608,0.3791552186012268,0.010987784713506699,0.23660343885421753,21,0.25623226165771484,1
38,0.5029974579811096,0.3794802725315094,0.008349835872650146,0.01347506046295166,21,0.5097349882125854,3
"76,627",0.6618217825889587,0.3793640434741974,0.00932532548904419,0.03713119029998779,21,0.6803873777389526,2
"63,844",0.8210029602050781,0.37960514426231384,0.009127199649810791,0.036743879318237305,21,0.8393748998641968,0
Ingresos netos por metodos de participacion patrimonial,0.13822956383228302,0.39362695813179016,0.010844853706657887,0.2831147313117981,22,0.27978692948818207,1
"207,338",0.656530499458313,0.3937343657016754,0.009516328573226929,0.04344308376312256,22,0.6782520413398743,2
"184,419",0.8161445260047913,0.39410609006881714,0.008782446384429932,0.04204517602920532,22,0.8371671140193939,0
Ingresos por arrendamientos,0.13758485019207,0.4068446159362793,0.010798454284667969,0.14365576207637787,23,0.20941273123025894,1
"2,481",0.6673429608345032,0.407167911529541,0.009395867586135864,0.028996169567108154,23,0.6818410456180573,2
"2,708",0.8269726037979126,0.40709638595581055,0.009527742862701416,0.030454516410827637,23,0.8421998620033264,0
"Ganancia en venta de activos, neta",0.13851287961006165,0.42142805457115173,0.009680214338004589,0.17764580249786377,24,0.22733578085899353,1
"1,476",0.6682871580123901,0.4220402240753174,0.009031146764755249,0.03008747100830078,24,0.6833308935165405,2
"2,032",0.826702356338501,0.4214250147342682,0.009532809257507324,0.030342400074005127,24,0.8418735563755035,0
Deteriora de cuentas por cobrar,0.1382041871547699,0.4355255663394928,0.010388880036771297,0.16214734315872192,25,0.21927785873413086,1
"(44,073)",0.6557712554931641,0.43578994274139404,0.009521037340164185,0.04431653022766113,25,0.6779295206069946,2
"(16,923)",0.8155890107154846,0.4359133541584015,0.009119749069213867,0.04295468330383301,25,0.8370663523674011,0
Total ingresos operacionales,0.13745851814746857,0.45207566022872925,0.011103689670562744,0.14780570566654205,26,0.2113613709807396,1
"9,228,873",0.6466779708862305,0.4524717628955841,0.009480983018875122,0.053066134452819824,26,0.6732110381126404,2
"8,158,724",0.8054161667823792,0.45254284143447876,0.009379774332046509,0.053249359130859375,26,0.8320408463478088,0
Costos por verta de bienes y prestacion de servicios,0.13785997033119202,0.4643317461013794,0.010772611945867538,0.2688959240913391,27,0.2723079323768616,1
37,0.5029128789901733,0.46460992097854614,0.008287131786346436,0.013653755187988281,27,0.5097397565841675,3
"4,997,869",0.6481648087501526,0.46482333540916443,0.009315282106399536,0.05307072401046753,27,0.6747001707553864,2
"3,780,072",0.808051586151123,0.4645000696182251,0.009497970342636108,0.05253148078918457,27,0.8343173265457153,0
Gastos por beneficios a empleados,0.13797549903392792,0.4786264896392822,0.010860340669751167,0.17623193562030792,28,0.22609146684408188,1
"302,146",0.6567621231079102,0.4790060222148895,0.00952690839767456,0.04311293363571167,28,0.678318589925766,2
"299,250",0.8156840801239014,0.47898542881011963,0.009371668100357056,0.04318016767501831,28,0.8372741639614105,0
Otros gastos operacionales,0.13776913285255432,0.49293017387390137,0.010985552333295345,0.1366216242313385,29,0.20607994496822357,1
39,0.5029072165489197,0.49341025948524475,0.00810733437538147,0.013393759727478027,29,0.5096040964126587,3
"649,414",0.6561883091926575,0.49354803562164307,0.009084045886993408,0.04320627450942993,29,0.6777914464473724,2
"639,015",0.8153514266014099,0.4935251772403717,0.009197026491165161,0.04324060678482056,29,0.8369717299938202,0
Depreciacion de activos tangibles,0.1384751796722412,0.5075501799583435,0.010709583759307861,0.1707003116607666,30,0.2238253355026245,1
"116,756",0.657131016254425,0.5075618624687195,0.009507715702056885,0.042709529399871826,30,0.678485780954361,2
"97,205",0.8207554817199707,0.507820188999176,0.009606599807739258,0.037125468254089355,30,0.8393182158470154,0
Amortizacion de activos intangibles,0.13701492547988892,0.5206964612007141,0.010873556137084961,0.18207529187202454,31,0.22805257141590118,1
"267,782",0.6564531326293945,0.5210105180740356,0.009536325931549072,0.04360377788543701,31,0.678255021572113,2
"318,464",0.8160269856452942,0.5214354991912842,0.008700847625732422,0.04300910234451294,31,0.8375315368175507,0
Gasto por provisiones,0.1381489485502243,0.5354670882225037,0.010535030625760555,0.11125438660383224,32,0.19377614185214043,1
"20,082",0.6620294451713562,0.5354899764060974,0.009598195552825928,0.03696560859680176,32,0.6805122494697571,2
"12,767",0.8219446539878845,0.5355167388916016,0.009440362453460693,0.03576844930648804,32,0.8398288786411285,0
Deteriora de activos no financieros,0.13820701837539673,0.5495758652687073,0.008869522251188755,0.17766496539115906,33,0.22703950107097626,1
"23,440",0.662043571472168,0.5499827265739441,0.009754300117492676,0.03716021776199341,33,0.6806236803531647,2
"34,788",0.8213903307914734,0.5499278903007507,0.009518802165985107,0.036516547203063965,33,0.8396486043930054,0
Total costos y gastos operacionales,0.137291818857193,0.5658318400382996,0.01139038521796465,0.18112418055534363,34,0.2278539091348648,1
"6,377,489",0.6462346911430359,0.5663684010505676,0.009746432304382324,0.05356860160827637,34,0.6730189919471741,2
"5,181,561",0.8053792119026184,0.5665301084518433,0.0097084641456604,0.05215388536453247,34,0.8314561545848846,0
Utilidad antes de impuestos sobre las ganancias,0.13844284415245056,0.581396758556366,0.01133179385215044,0.24462375044822693,35,0.260754719376564,1
"2,851,384",0.6466057300567627,0.5820885896682739,0.009586155414581299,0.053151845932006836,35,0.6731816530227661,2
"2,977,163",0.8054988384246826,0.5821011066436768,0.009427487850189209,0.05316162109375,35,0.8320796489715576,0
Impuestos sobre las ganancias,0.13817644119262695,0.5948789119720459,0.010997963137924671,0.1520180106163025,36,0.2141854465007782,1
21,0.5025445818901062,0.5954079627990723,0.008312344551086426,0.011444926261901855,36,0.5082670450210571,3
"802,936",0.6562443375587463,0.5956699252128601,0.008875489234924316,0.041685283184051514,36,0.6770869791507721,2
"908,261",0.8152833580970764,0.5954617857933044,0.00915682315826416,0.0422818660736084,36,0.8364242911338806,0
Utilidad neta operaciones continuadas,0.13830077648162842,0.6101381778717041,0.011245054192841053,0.19879528880119324,37,0.23769842088222504,1
"2,048,448",0.6466934084892273,0.6108441948890686,0.009470343589782715,0.053168654441833496,37,0.673277735710144,2
"2,068,902",0.805510401725769,0.6109066605567932,0.00945812463760376,0.05356299877166748,37,0.8322919011116028,0
Perdida neta de operaciones discontinuadas,0.13780707120895386,0.6238710284233093,0.010755595751106739,0.2232154905796051,38,0.2494148164987564,1
"(44,285)",0.6562685370445251,0.6244341135025024,0.009538352489471436,0.04305046796798706,38,0.6777937710285187,2
(383),0.8279018402099609,0.6240019202232361,0.009325385093688965,0.028950035572052002,38,0.8423768579959869,0
Utilidad neta del ejercicio,0.13849657773971558,0.6400317549705505,0.011082593351602554,0.13449159264564514,39,0.20574237406253815,1
$,0.5309668183326721,0.6406040191650391,0.009045302867889404,0.008324146270751953,39,0.5351288914680481,3
"2,004,163",0.6464923620223999,0.6408024430274963,0.009397625923156738,0.05297994613647461,39,0.6729823350906372,2
"2,068,519",0.8054308891296387,0.6407989859580994,0.009440004825592041,0.05351746082305908,39,0.8321896195411682,0
Atribuible a:,0.1376706063747406,0.6581703424453735,0.008587364107370377,0.06540680676698685,40,0.17037400975823402,1
Interes controlante,0.1376459300518036,0.670676052570343,0.008670449256896973,0.09593869745731354,41,0.18561527878046036,1
"1,531,288",0.647715151309967,0.6706434488296509,0.009359896183013916,0.05291748046875,41,0.674173891544342,2
"1,620,160",0.8067983984947205,0.6706482768058777,0.009242832660675049,0.052749037742614746,41,0.8331729173660278,0
Interes no controlante,0.1375529170036316,0.6817067861557007,0.008445799350738525,0.11248394101858139,42,0.1937948875129223,1
34,0.5027544498443604,0.6805958151817322,0.008441746234893799,0.013746798038482666,42,0.5096278488636017,3
"472,875",0.6552020907402039,0.681269645690918,0.009117186069488525,0.04384106397628784,42,0.6771226227283478,2
"448,359",0.815791666507721,0.6822745203971863,0.008129656314849854,0.04366481304168701,42,0.8376240730285645,0
"2,004,163",0.6464104652404785,0.6939427256584167,0.009425699710845947,0.05279111862182617,43,0.6728060245513916,2
"2,068,519",0.8053792715072632,0.6937918663024902,0.009683191776275635,0.05338865518569946,43,0.8320735991001129,0
