texts,left,top,height,width,row,center_x,column
ESTADO CONSOLIDADO INTERMEDIO DE SITUACION FINANCIERA,0.1751280426979065,0.05421454831957817,0.014262402430176735,0.6370514035224915,0,0.4936537444591522,3
Al 30 de junio de 2016 (No auditados) y 31 de diciembre de 2015,0.2581556439399719,0.08568106591701508,0.012560096569359303,0.44799357652664185,1,0.48215243220329285,3
Al 31 de,0.8081582188606262,0.12214768677949905,0.009368986822664738,0.04223533347249031,2,0.8292758855968714,2
Al 30 de junio de,0.6844981908798218,0.12752296030521393,0.011201690882444382,0.08662854880094528,3,0.7278124652802944,0
diciembre de,0.79544597864151,0.13433103263378143,0.009325356222689152,0.067984439432621,4,0.8294381983578205,2
ACTIVOS,0.3162340223789215,0.1418028622865677,0.009303674101829529,0.04899328947067261,5,0.3407306671142578,1
Notas,0.6243435740470886,0.1418779194355011,0.009176850318908691,0.030530214309692383,5,0.6396086812019348,3
2016,0.7145888805389404,0.14007818698883057,0.009242087602615356,0.026566505432128906,5,0.7278721332550049,0
2015,0.816153347492218,0.14571644365787506,0.009241417050361633,0.025739610195159912,6,0.829023152589798,2
M$,0.7199392318725586,0.17017357051372528,0.009705200791358948,0.016666173934936523,7,0.7282723188400269,0
M$,0.821044921875,0.17032545804977417,0.009519517421722412,0.016423344612121582,7,0.8292565941810608,2
Activos corrientes,0.08350564539432526,0.18552257120609283,0.009180575609207153,0.09582902491092682,8,0.13142015784978867,1
Efectivo y equivalentes al efectivo,0.08495639264583588,0.2005017250776291,0.011012578383088112,0.16097213327884674,9,0.16544245928525925,1
14,0.6338773965835571,0.20071403682231903,0.008668512105941772,0.012756764888763428,9,0.6402557790279388,3
125.457.704,0.713201642036438,0.20044538378715515,0.00956176221370697,0.0605924129486084,9,0.7434978485107422,0
192.554.239,0.8156293630599976,0.20055261254310608,0.009249106049537659,0.058945298194885254,9,0.8451020121574402,2
Otros activos financieros,0.08447771519422531,0.21548870205879211,0.009432762861251831,0.11882888525724411,10,0.14389215782284737,1
6,0.6358773708343506,0.21575607359409332,0.00897371768951416,0.007735073566436768,10,0.639744907617569,3
11.499.013,0.7192192077636719,0.21558710932731628,0.009454712271690369,0.05472409725189209,10,0.7465812563896179,0
13.644.105,0.8209684491157532,0.21567891538143158,0.009333446621894836,0.05383431911468506,10,0.8478856086730957,2
Otros activos no financieros,0.08444090187549591,0.22987708449363708,0.009241238236427307,0.1334039717912674,11,0.1511428877711296,1
19,0.6337816715240479,0.23013935983181,0.008934766054153442,0.012858867645263672,11,0.6402111053466797,3
18.136.449,0.7195102572441101,0.2297857105731964,0.009442910552024841,0.05449116230010986,11,0.746755838394165,0
17.654.373,0.8208643198013306,0.2298831194639206,0.00926131010055542,0.05443429946899414,11,0.8480814695358276,2
Deudores comerciales y otras cuentas por cobrar,0.08415098488330841,0.24504762887954712,0.011104671284556389,0.23613418638706207,12,0.20221807807683945,1
15,0.6336830854415894,0.2450743019580841,0.008966624736785889,0.012944340705871582,12,0.6401552557945251,3
199.597.511,0.7133403420448303,0.24503101408481598,0.009360864758491516,0.05933809280395508,12,0.7430093884468079,0
252.225.937,0.8148268461227417,0.24499200284481049,0.009213879704475403,0.059174537658691406,12,0.8444141149520874,2
Cuentas por cobrar a entidades relacionadas,0.08434326201677322,0.26011428236961365,0.010980937629938126,0.21553444862365723,13,0.19211048632860184,1
16,0.633740246295929,0.2602379620075226,0.009022653102874756,0.012936174869537354,13,0.6402083337306976,3
2.451.838,0.7242786288261414,0.2600860595703125,0.009550333023071289,0.049811720848083496,13,0.7491844892501831,0
"4,788,930",0.825609564781189,0.2601988613605499,0.009335339069366455,0.04949134588241577,13,0.8503552377223969,2
Inventarios,0.08452790230512619,0.2754382789134979,0.009031534194946289,0.05363745242357254,14,0.11134662851691246,1
17,0.6337693929672241,0.2755661904811859,0.008740395307540894,0.012807190418243408,14,0.6401729881763458,3
213.379.385,0.7127116918563843,0.2752669155597687,0.009462714195251465,0.06112062931060791,14,0.7432720065116882,0
174.227.415,0.8152073621749878,0.2753410339355469,0.009112536907196045,0.059815287590026855,14,0.8451150059700012,2
Activos biologicos corrientes,0.08402851969003677,0.2896265387535095,0.01123034954071045,0.13709817826747894,15,0.15257760882377625,1
18,0.6337926387786865,0.289677232503891,0.008909255266189575,0.012765705585479736,15,0.6401754915714264,3
804.082,0.7335668206214905,0.28934937715530396,0.00958251953125,0.0403209924697876,15,0.7537273168563843,0
"7,633,340",0.8256390690803528,0.2896023094654083,0.009211152791976929,0.04938662052154541,15,0.8503323793411255,2
Activos por impuestos corrientes,0.0840148776769638,0.3048911988735199,0.010826405137777328,0.15664218366146088,16,0.16233596950769424,1
26,0.6329683065414429,0.304835706949234,0.009135693311691284,0.01379239559173584,16,0.6398645043373108,3
21.486.037,0.7182368636131287,0.3047657310962677,0.009375512599945068,0.0551532506942749,16,0.7458134889602661,0
15.264.220,0.8208073973655701,0.30485713481903076,0.009208917617797852,0.05401325225830078,16,0.8478140234947205,2
Total activos corrientes distintos de activos mantenidos para la venta,0.08445065468549728,0.3202250003814697,0.010685444809496403,0.35648438334465027,17,0.2626928463578224,1
592.812.019,0.7127653360366821,0.3202989101409912,0.009101390838623047,0.060485005378723145,17,0.7430078387260437,0
"677,992.559",0.8140938878059387,0.32039862871170044,0.008976489305496216,0.060698091983795166,17,0.8444429337978363,2
Activos no corrientes mantenidos para la venta,0.0843677744269371,0.3341953754425049,0.010947666130959988,0.2246903032064438,18,0.196712926030159,1
25,0.6329194903373718,0.3341853618621826,0.009187787771224976,0.013765513896942139,18,0.6398022472858429,3
2.392.394,0.724390983581543,0.3342145085334778,0.009151935577392578,0.04907214641571045,18,0.7489270567893982,0
6.319.316,0.8248641490936279,0.3341974914073944,0.009839087724685669,0.04946243762969971,18,0.8495953679084778,2
Total activos no corrientes mantenidos para la venta,0.08395973592996597,0.34934356808662415,0.010921835899353027,0.2699012756347656,19,0.21891037374734879,1
2.392.394,0.7240933775901794,0.34971296787261963,0.00912424921989441,0.050432562828063965,19,0.7493096590042114,0
6.319.316,0.8256693482398987,0.34957650303840637,0.009388923645019531,0.04973244667053223,19,0.8505355715751648,2
Total activos corrientes,0.0842447429895401,0.3634392321109772,0.009474428370594978,0.12201911956071854,20,0.14525430276989937,1
595.204.413,0.7125213742256165,0.3634919822216034,0.009476989507675171,0.06073111295700073,20,0.7428869307041168,0
684.311.875,0.8142302632331848,0.36341145634651184,0.0095919668674469,0.06086224317550659,20,0.8446613848209381,2
Activos no corrientes,0.08324892818927765,0.3875097632408142,0.009057223796844482,0.1122969537973404,21,0.13939740508794785,1
Otros activos financieros,0.08459129184484482,0.4014320969581604,0.009225960820913315,0.11875354498624802,22,0.14396806433796883,1
6,0.635874330997467,0.4015659689903259,0.008877456188201904,0.0076302289962768555,22,0.6396894454956055,3
-,0.7685009837150574,0.40603867173194885,0.0027799904346466064,0.00552976131439209,23,0.7712658643722534,0
80.217,0.8406901955604553,0.40137091279029846,0.009094804525375366,0.03393983840942383,24,0.8576601147651672,2
Otros activos no financieros,0.08443699777126312,0.41642263531684875,0.009293968789279461,0.13346713781356812,25,0.15117056667804718,1
19,0.6336631774902344,0.4165927469730377,0.008943051099777222,0.012981235980987549,25,0.6401537954807281,3
5.990.701,0.7245447635650635,0.4168969690799713,0.00952214002609253,0.04954618215560913,25,0.749317854642868,0
"27,067,454",0.819101870059967,0.41666126251220703,0.009122103452682495,0.055586934089660645,25,0.8468953371047974,2
Cuentas por cobrar no corrientes,0.08424518257379532,0.4314805269241333,0.011080551892518997,0.1580429971218109,26,0.16326668113470078,1
15,0.6337502002716064,0.4318157434463501,0.009149342775344849,0.012961268424987793,26,0.6402308344841003,3
3.235.254,0.7243343591690063,0.43150943517684937,0.009615212678909302,0.04950296878814697,26,0.7490858435630798,0
-,0.8697694540023804,0.4360808730125427,0.0027084052562713623,0.005195438861846924,27,0.8723671734333038,2
Cuentas por cobrar a entidades relacionadas,0.08430767059326172,0.44583314657211304,0.010718493722379208,0.21546274423599243,28,0.19203904271125793,1
16,0.6336343288421631,0.445945143699646,0.009107500314712524,0.013008534908294678,28,0.6401385962963104,3
428.419,0.7332082390785217,0.44570985436439514,0.009529799222946167,0.040684282779693604,28,0.7535503804683685,0
445.938,0.8343089818954468,0.4459425210952759,0.009064733982086182,0.04085421562194824,28,0.8547360897064209,2
Inversiones contabilizadas por metodo de la participacion,0.08442854136228561,0.4611000716686249,0.0110434265807271,0.2736717164516449,29,0.22126439958810806,1
20,0.63287752866745,0.4611687660217285,0.009019225835800171,0.013777554035186768,29,0.6397663056850433,3
49.176.407,0.7183095216751099,0.4609611928462982,0.009452134370803833,0.05538761615753174,29,0.7460033297538757,0
"49,995,263",0.8193488717079163,0.4610481858253479,0.00931963324546814,0.055440306663513184,29,0.8470690250396729,2
Activos intangibles distintos de la plusvalia,0.08402300626039505,0.47616395354270935,0.011225640773773193,0.204420804977417,30,0.18623340874910355,1
21,0.6330381631851196,0.4762822985649109,0.00897216796875,0.011876583099365234,30,0.6389764547348022,3
76.517.596,0.71872478723526,0.4760858118534088,0.009634912014007568,0.055326998233795166,30,0.7463882863521576,0
64.120.426,0.8194593191146851,0.47620853781700134,0.009423941373825073,0.05564224720001221,30,0.8472804427146912,2
Plusvalia,0.08447804301977158,0.4914243519306183,0.009133726358413696,0.0449267253279686,31,0.10694140568375587,1
22,0.6331422328948975,0.491450697183609,0.008881956338882446,0.013458013534545898,31,0.6398712396621704,3
96.805.266,0.7185807824134827,0.49131813645362854,0.009415417909622192,0.05540198087692261,31,0.746281772851944,0
83.300.573,0.8197018504142761,0.49139976501464844,0.009290575981140137,0.05548137426376343,31,0.8474425375461578,2
"Propiedades, plantas y equipos (neto)",0.0848383754491806,0.505805253982544,0.011062154546380043,0.18159176409244537,32,0.1756342574954033,1
