texts,left,top,height,width,row,center_x,column
Estado de situacion financiera,0.07305552065372467,0.05053269863128662,0.022181740030646324,0.470069944858551,0,0.3080904930830002,4
Al 31 de diciembre (valores expresados en millones de pesos colombianos),0.06964939832687378,0.07839196175336838,0.011961559765040874,0.4321492910385132,1,0.28572404384613037,4
Notas,0.6261845231056213,0.11061491817235947,0.009411618113517761,0.037573814392089844,2,0.6449714303016663,3
2018,0.7628811001777649,0.11057326942682266,0.009547285735607147,0.03301429748535156,2,0.7793882489204407,2
2017,0.8883963823318481,0.11069675534963608,0.009017303586006165,0.03237992525100708,2,0.9045863449573517,0
ACTIVO,0.07678364217281342,0.12751777470111847,0.009396642446517944,0.048590824007987976,3,0.1010790541768074,1
Activo corriente,0.07688602805137634,0.14069674909114838,0.009256228804588318,0.10049191117286682,4,0.12713198363780975,1
Efectivo y equivalentes de efectivo,0.07725542783737183,0.15279585123062134,0.011849534697830677,0.20132499933242798,5,0.17791792750358582,1
$,0.6881176233291626,0.15234197676181793,0.010706976056098938,0.00911104679107666,5,0.6926731467247009,3
"1,086",0.7619895935058594,0.15301112830638885,0.009200990200042725,0.03395581245422363,5,0.7789674997329712,2
$,0.8121591806411743,0.15226751565933228,0.0108175128698349,0.009116053581237793,5,0.8167172074317932,2
465,0.8962222933769226,0.15293657779693604,0.009285077452659607,0.024138450622558594,5,0.9082915186882019,0
Deudores comerciales y otras cuentas por cobrar,0.07713408768177032,0.16581843793392181,0.011708451434969902,0.2841210961341858,6,0.21919463574886322,4
5,0.6407507061958313,0.16607969999313354,0.009307026863098145,0.008554697036743164,6,0.6450280547142029,3
14.608,0.7546166181564331,0.16589407622814178,0.009622663259506226,0.04112982749938965,6,0.7751815319061279,2
"14,481",0.8795926570892334,0.1663631945848465,0.00880393385887146,0.03933793306350708,6,0.8992616236209869,0
Otros activos,0.07688538730144501,0.1793251782655716,0.009144201874732971,0.07788317650556564,7,0.11582697555422783,1
6,0.6407626271247864,0.17953170835971832,0.008897736668586731,0.008787333965301514,7,0.6451562941074371,3
1.131,0.7621906399726868,0.17921438813209534,0.009317785501480103,0.031895995140075684,7,0.7781386375427246,2
402,0.896524965763092,0.1793186515569687,0.008985266089439392,0.023644745349884033,7,0.9083473384380341,0
Total activo corriente,0.07683268934488297,0.1922777146100998,0.009440681897103786,0.13369117677211761,8,0.14367827773094177,1
$,0.6881491541862488,0.1917932778596878,0.010698959231376648,0.009124815464019775,8,0.6927115619182587,3
16.825,0.752544641494751,0.19240516424179077,0.009362325072288513,0.04269230365753174,8,0.7738907933235168,2
$,0.8120930194854736,0.19173458218574524,0.010888561606407166,0.009207844734191895,8,0.8166969418525696,2
15.348,0.8777198195457458,0.19233906269073486,0.00963631272315979,0.042719900608062744,8,0.8990797698497772,0
Activo no corriente,0.07694805413484573,0.20667381584644318,0.008967558853328228,0.11972219496965408,9,0.13680915161967278,1
Deudores comerciales y otras cuentas por cobrar,0.07695775479078293,0.22142882645130157,0.011426476761698723,0.28406664729118347,10,0.21899107843637466,4
5,0.640774130821228,0.22141526639461517,0.009347394108772278,0.008466660976409912,10,0.645007461309433,3
567,0.771995484828949,0.2214008867740631,0.009409010410308838,0.02387380599975586,10,0.7839323878288269,2
2.965,0.8861343860626221,0.2216101884841919,0.009308144450187683,0.034263551235198975,10,0.9032661616802216,0
Inversiones en subsidiarias,0.077420674264431,0.23540712893009186,0.009433314204216003,0.1554199457168579,11,0.15513064712285995,1
7,0.6409661769866943,0.23571838438510895,0.008780524134635925,0.008358955383300781,11,0.6451456546783447,3
"4,991,464",0.7345649003982544,0.2355545312166214,0.009400412440299988,0.060767292976379395,11,0.7649485468864441,2
"4,872,188",0.8598102331161499,0.23558424413204193,0.009382545948028564,0.060181260108947754,11,0.8899008631706238,0
Inversiones en asociadas,0.07723496109247208,0.2487863451242447,0.009248420596122742,0.144436776638031,12,0.14945334941148758,1
8,0.6406852006912231,0.2487614005804062,0.00916115939617157,0.008683502674102783,12,0.6450269520282745,3
150.606,0.7460354566574097,0.24863630533218384,0.00959855318069458,0.04972165822982788,12,0.7708962857723236,2
149.441,0.8709790110588074,0.24868807196617126,0.009344100952148438,0.04835695028305054,12,0.8951574862003326,0
Otros activos financieros no corrientes,0.07681839168071747,0.26166078448295593,0.009579064324498177,0.22563378512859344,13,0.1896352842450142,1
9,0.6406996250152588,0.26187556982040405,0.008863240480422974,0.008741796016693115,13,0.6450705230236053,3
3.322.470,0.73468017578125,0.2618040442466736,0.009498506784439087,0.06190025806427002,13,0.765630304813385,2
4.061.685,0.8598083257675171,0.26177918910980225,0.009483307600021362,0.0600663423538208,13,0.8898414969444275,0
Activo por impuesto diferido,0.07660262286663055,0.273648738861084,0.01215703971683979,0.1671433299779892,14,0.16017428785562515,1
10.4,0.6328091025352478,0.2741253077983856,0.009136855602264404,0.025640368461608887,14,0.6456292867660522,3
1.412,0.7622503042221069,0.27427172660827637,0.008957743644714355,0.03333783149719238,14,0.7789192199707031,2
5.227,0.886188805103302,0.27402961254119873,0.009311676025390625,0.0344507098197937,14,0.9034141600131989,0
Otros activos,0.07743308693170547,0.287212997674942,0.009264828637242317,0.07676102221012115,15,0.11581359803676605,1
6,0.6408555507659912,0.28713729977607727,0.009104609489440918,0.008863866329193115,15,0.6452874839305878,3
9,0.7872684001922607,0.2872626483440399,0.008915245532989502,0.008581101894378662,15,0.7915589511394501,2
6,0.9122887253761292,0.2872428297996521,0.008954644203186035,0.008624613285064697,15,0.9166010320186615,0
Total activo no corriente,0.07669882476329803,0.29928091168403625,0.009383388794958591,0.15280155837535858,16,0.15309960395097733,1
$,0.6881824731826782,0.29884591698646545,0.010997474193572998,0.00902402400970459,16,0.6926944851875305,3
8.466.528,0.7328537106513977,0.2993620038032532,0.009642153978347778,0.06334245204925537,16,0.7645249366760254,2
$,0.8122376799583435,0.2987149655818939,0.01135280728340149,0.009056925773620605,16,0.8167661428451538,2
9.091.512,0.8582420945167542,0.29929059743881226,0.009761959314346313,0.062777578830719,16,0.8896308839321136,0
TOTAL ACTIVOS,0.07714176177978516,0.3105892837047577,0.009444475173950195,0.09849044680595398,17,0.12638698518276215,1
$,0.6882110834121704,0.31017929315567017,0.010514140129089355,0.00921475887298584,17,0.6928184628486633,3
8.483.353,0.733024537563324,0.31067389249801636,0.009498685598373413,0.062293052673339844,17,0.7641710638999939,2
$,0.8121626973152161,0.31006455421447754,0.01068103313446045,0.00921487808227539,17,0.8167701363563538,2
9.106.860,0.8573422431945801,0.31060975790023804,0.009531974792480469,0.06336843967437744,17,0.8890264630317688,0
PASIVO,0.07733846455812454,0.3274382948875427,0.009197831153869629,0.045700736343860626,18,0.10018883273005486,1
Pasivo corriente,0.07701399177312851,0.34230607748031616,0.009487807750701904,0.10072138160467148,19,0.12737468257546425,1
Proveedores y cuentas por pagar,0.07637292146682739,0.3555128872394562,0.011722191236913204,0.19134366512298584,20,0.1720447540283203,1
11,0.637903094291687,0.35563766956329346,0.008952409029006958,0.014297008514404297,20,0.6450515985488892,3
74.322,0.7535645961761475,0.3555457890033722,0.009501218795776367,0.041814982891082764,20,0.7744720876216888,2
69.855,0.8785182237625122,0.35552993416786194,0.009632021188735962,0.04180794954299927,20,0.8994221985340118,0
Impuesto sobre la renta e impuestos por pagar,0.07765018194913864,0.3679121136665344,0.011526175774633884,0.2705445885658264,21,0.21292247623205185,4
10.2,0.6327694058418274,0.3678900897502899,0.009038090705871582,0.025712311267852783,21,0.6456255614757538,3
495,0.7716119885444641,0.36794549226760864,0.009301036596298218,0.024135053157806396,21,0.7836795151233673,2
416,0.8967155814170837,0.3679274916648865,0.009052634239196777,0.024370968341827393,21,0.9089010655879974,0
Pasivo por beneficios a empleados,0.07719352096319199,0.38063082098960876,0.011723935604095459,0.200058713555336,22,0.17722287774085999,1
12,0.638075590133667,0.3809953033924103,0.008983761072158813,0.01519918441772461,22,0.6456751823425293,3
745,0.7720023393630981,0.38088950514793396,0.00935414433479309,0.023670852184295654,22,0.783837765455246,2
1.205,0.8868021965026855,0.38113585114479065,0.00906643271446228,0.0337030291557312,22,0.9036537110805511,0
Total pasivo corriente,0.07689740508794785,0.39410892128944397,0.011302962899208069,0.1351485550403595,23,0.1444716826081276,1
$,0.6879332661628723,0.3933785855770111,0.01078900694847107,0.0095137357711792,23,0.6926901340484619,3
75.562,0.752079427242279,0.3939817249774933,0.009606420993804932,0.04387468099594116,23,0.7740167677402496,2
$,0.8121436238288879,0.3933187425136566,0.010856598615646362,0.009284257888793945,23,0.8167857527732849,2
71.476,0.8769523501396179,0.39393720030784607,0.009584009647369385,0.043657541275024414,23,0.8987811207771301,0
Pasivo no corriente,0.07604905217885971,0.40745240449905396,0.009256308898329735,0.12095630168914795,24,0.13652720302343369,1
Proveedores y cuentas por pagar,0.07646098732948303,0.41932040452957153,0.0118928337469697,0.19146698713302612,25,0.1721944808959961,1
11,0.6382060647010803,0.41974344849586487,0.008631527423858643,0.013880550861358643,25,0.6451463401317596,3
158,0.772862434387207,0.4192257523536682,0.009266138076782227,0.022727489471435547,25,0.7842261791229248,2
158,0.8980211019515991,0.41911688446998596,0.00922936201095581,0.02300262451171875,25,0.9095224142074585,0
Pasivo por beneficios a empleados,0.07726655155420303,0.43238574266433716,0.011776751838624477,0.20017260313034058,26,0.17735285311937332,1
12,0.6379064321517944,0.43266060948371887,0.009134143590927124,0.015086591243743896,26,0.6454497277736664,3
1.503,0.7617512941360474,0.43257543444633484,0.009480416774749756,0.03286147117614746,26,0.7781820297241211,2
15.126,0.8792679309844971,0.43255674839019775,0.009598881006240845,0.04151177406311035,26,0.9000238180160522,0
Pasivo por impuesto diferido,0.07735523581504822,0.44483476877212524,0.01138579286634922,0.16608819365501404,27,0.16039933264255524,1
10.4,0.6328338980674744,0.44513723254203796,0.008976101875305176,0.026256442070007324,27,0.645962119102478,3
8.239,0.7611821293830872,0.44476136565208435,0.009596288204193115,0.035094499588012695,27,0.7787293791770935,2
9.449,0.8861973881721497,0.4450809061527252,0.008832663297653198,0.03463190793991089,27,0.9035133421421051,0
Otros pasivos,0.07646302133798599,0.45794105529785156,0.011255861259996891,0.07993264496326447,28,0.11642934381961823,1
301,0.7717894315719604,0.45798301696777344,0.00920194387435913,0.02273869514465332,28,0.7831587791442871,2
-,0.9138792753219604,0.4617805480957031,0.0029574334621429443,0.006093323230743408,29,0.9169259369373322,0
Total pasivo no corriente,0.07657712697982788,0.4710875451564789,0.010985344648361206,0.15508273243904114,30,0.15411849319934845,1
$,0.6882326602935791,0.47056844830513,0.010734766721725464,0.009052276611328125,30,0.6927587985992432,3
10.201,0.7526585459709167,0.4709634780883789,0.009771853685379028,0.04217243194580078,30,0.7737447619438171,2
$,0.8123283982276917,0.4704623818397522,0.010973691940307617,0.00899428129196167,30,0.8168255388736725,2
24.733,0.8764630556106567,0.4709334373474121,0.010101646184921265,0.04344755411148071,30,0.8981868326663971,0
TOTAL PASIVO,0.07700742781162262,0.48422113060951233,0.009129643440246582,0.08886900544166565,31,0.12144193053245544,1
$,0.6881362199783325,0.48350176215171814,0.010937392711639404,0.00934511423110962,31,0.6928087770938873,3
85.763,0.7523425221443176,0.4840107262134552,0.009484976530075073,0.04303711652755737,31,0.7738610804080963,2
$,0.8121591806411743,0.48344460129737854,0.010992109775543213,0.009278357028961182,31,0.8167983591556549,2
96.209,0.8767781257629395,0.48406195640563965,0.009488523006439209,0.043459177017211914,31,0.8985077142715454,0
PATRIMONIO,0.07678262144327164,0.5021001696586609,0.009176909923553467,0.0804600790143013,32,0.11701266095042229,1
Capital emitido,0.07722189277410507,0.5158683061599731,0.011628248728811741,0.08917846530675888,33,0.12181112542748451,1
13.1,0.6328736543655396,0.5160765647888184,0.009312093257904053,0.024605929851531982,33,0.6451766192913055,3
2.301,0.761004626750946,0.5160585045814514,0.009488165378570557,0.033160626888275146,33,0.7775849401950836,2
2.301,0.8859308958053589,0.5161316394805908,0.009743750095367432,0.033824801445007324,33,0.9028432965278625,0
Prima en emision de capital,0.07735046744346619,0.5293272137641907,0.01125568151473999,0.16126659512519836,34,0.15798376500606537,1
13.1,0.6320910453796387,0.5290807485580444,0.009320497512817383,0.025055408477783203,34,0.6446187496185303,3
546.832,0.7449074387550354,0.5292211174964905,0.00954592227935791,0.05082976818084717,34,0.770322322845459,2
546.832,0.8698409199714661,0.5291669368743896,0.009608268737792969,0.05053365230560303,34,0.8951077461242676,0
Reservas,0.0770554393529892,0.5425480604171753,0.009163916110992432,0.052085354924201965,35,0.10309811681509018,1
13.2,0.6327413320541382,0.5422946214675903,0.009325385093688965,0.025851190090179443,35,0.6456669270992279,3
3.915.685,0.7347896695137024,0.5423299074172974,0.009611129760742188,0.06067812442779541,35,0.7651287317276001,2
"3,746.020",0.8594175577163696,0.5424506068229675,0.009299635887145996,0.06115162372589111,35,0.8899933695793152,0
Utilidades acumuladas,0.076802559196949,0.5543774366378784,0.009566307067871094,0.13306154310703278,36,0.1433333307504654,1
13.2,0.6328781843185425,0.5545663237571716,0.009449005126953125,0.025879740715026855,36,0.6458180546760559,3
3,0.7873531579971313,0.5549004673957825,0.008965730667114258,0.007940053939819336,36,0.791323184967041,2
